,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,Punta Arenas,-53.15,-70.92,48.09,81,20,19.46,CL,11/18/20 03:17
44,Albany,42.6,-73.97,31.21,74,4,1.99,US,11/18/20 03:15
45,Amfissa,38.52,22.37,55.83,86,86,1.99,GR,11/18/20 03:17
46,Marabu,4.41,114.01,86.0,74,40,2.24,MY,11/18/20 03:15
47,Prainha,-1.8,-53.48,77.95,78,100,6.98,BR,11/18/20 03:17
48,Singkang,2.1,102.8,82.2,83,20,2.24,MY,11/18/20 03:17
49,Bengkulu,-3.8,102.27,83.28,70,100,3.53,ID,11/18/20 03:17
50,Katsuura,35.13,140.3,66.33,72,20,5.82,JP,11/18/20 03:17
51,Mar del Plata,-38.0,-57.56,58.87,77,75,13.87,AR,11/18/20 03:18
52,Saskylakh,71.92,114.08,15.31,95,100,15.93,RU,11/18/20 03:18
53,Cidreira,-30.18,-50.21,62.91,75,75,5.57,BR,11/18/20 03:18
54,Tasiilaq,65.61,-37.64,17.6,57,0,2.24,GL,11/18/20 03:18
55,Umluj,25.02,37.27,71.01,61,0,7.63,SA,11/18/20 03:18
56,Hithadhoo,-0.6,73.08,82.11,79,65,15.7,MV,11/18/20 03:18
57,Soldotna,60.49,-151.06,10.8,92,1,3.56,US,11/18/20 03:18
58,Mataura,-46.19,168.86,57.0,69,66,15.01,NZ,11/18/20 03:18
59,Chilca,-12.52,-76.74,64.06,82,20,11.41,PE,11/18/20 03:18
60,Cape Town,-33.93,18.42,62.24,67,20,19.46,ZA,11/18/20 03:15
61,Altensteig,48.58,8.6,39.33,98,12,1.45,DE,11/18/20 03:18
62,Clyde River,70.47,-68.59,19.4,92,90,26.4,CA,11/18/20 03:15
63,Ucluelet,48.93,-125.55,48.0,91,100,2.3,CA,11/18/20 03:18
64,Upernavik,72.79,-56.15,29.32,90,100,5.01,GL,11/18/20 03:18
65,São Filipe,14.9,-24.5,79.83,63,0,7.27,CV,11/18/20 03:18
66,Cienfuegos,22.15,-80.44,73.4,100,77,9.17,CU,11/18/20 03:18
67,Kununurra,-15.77,128.73,93.2,44,99,11.41,AU,11/18/20 03:18
68,Grants Pass,42.44,-123.33,46.54,87,75,1.63,US,11/18/20 03:18
69,Riyadh,24.69,46.72,66.2,82,75,5.82,SA,11/18/20 03:17
70,Narsaq,60.92,-46.05,35.6,34,100,28.86,GL,11/18/20 03:18
71,Cleveland,41.5,-81.7,34.32,47,90,25.28,US,11/18/20 03:16
72,Cherskiy,68.75,161.3,-4.81,92,100,2.64,RU,11/18/20 03:18
73,Rikitea,-23.12,-134.97,75.87,77,97,8.79,PF,11/18/20 03:18
74,Caicó,-6.46,-37.1,77.83,69,48,12.68,BR,11/18/20 03:16
75,Salalah,17.02,54.09,73.4,69,0,2.24,OM,11/18/20 03:18
76,Soyo,-6.13,12.37,77.52,76,100,4.43,AO,11/18/20 03:18
77,Flinders,-34.58,150.86,71.01,62,66,12.01,AU,11/18/20 03:18
78,Castro,-24.79,-50.01,61.11,95,93,10.49,BR,11/18/20 03:18
79,Bethel,41.37,-73.41,34.0,69,20,8.05,US,11/18/20 03:18
80,Constitución,-35.33,-72.42,53.51,87,58,3.0,CL,11/18/20 03:18
81,Khatanga,71.97,102.5,7.54,95,67,11.74,RU,11/18/20 03:18
82,Sakakah,29.97,40.21,51.8,76,0,4.7,SA,11/18/20 03:18
83,Hilo,19.73,-155.09,74.66,69,1,4.7,US,11/18/20 03:18
84,Faratsiho,-19.4,46.95,58.66,86,1,3.51,MG,11/18/20 03:18
85,Evensk,61.95,159.23,-7.04,86,91,11.59,RU,11/18/20 03:18
86,Bredasdorp,-34.53,20.04,59.0,93,100,3.36,ZA,11/18/20 03:18
87,Muisne,0.6,-80.03,73.04,81,100,8.9,EC,11/18/20 03:18
88,New Norfolk,-42.78,147.06,71.89,44,99,1.99,AU,11/18/20 03:18
89,Nikolskoye,59.7,30.79,32.0,86,75,15.66,RU,11/18/20 03:18
90,Lovington,32.94,-103.35,52.99,62,1,8.05,US,11/18/20 03:18
91,Labuhan,-6.88,112.21,88.0,58,10,4.0,ID,11/18/20 03:18
92,Pisco,-13.7,-76.22,64.24,77,0,8.05,PE,11/18/20 03:18
93,Charlestown,-32.95,151.67,71.89,56,40,16.11,AU,11/18/20 03:17
94,Lorengau,-2.02,147.27,86.32,66,53,6.64,PG,11/18/20 03:18
95,Arraial do Cabo,-22.97,-42.03,75.04,89,54,10.63,BR,11/18/20 03:15
96,Pervomayskiy,53.25,40.29,19.31,87,8,9.01,RU,11/18/20 03:18
97,Lüderitz,-26.65,15.16,56.75,74,0,19.17,NA,11/18/20 03:18
98,Vakhrushev,48.98,142.97,29.16,81,44,11.99,RU,11/18/20 03:18
99,Chui,-33.7,-53.46,55.6,80,0,4.34,UY,11/18/20 03:18
100,Port Hardy,50.7,-127.42,44.22,87,90,4.7,CA,11/18/20 03:15
101,Taltal,-25.4,-70.48,56.95,69,0,5.44,CL,11/18/20 03:18
102,Altay,47.87,88.12,10.51,76,0,3.29,CN,11/18/20 03:18
103,Varva,50.49,32.72,24.96,95,100,8.32,UA,11/18/20 03:18
104,Lugovoy,42.95,72.76,21.7,84,100,1.45,KZ,11/18/20 03:18
105,Nelson Bay,-32.72,152.15,73.78,56,40,16.11,AU,11/18/20 03:18
106,Nome,64.5,-165.41,22.17,73,1,11.41,US,11/18/20 03:14
107,Campo Grande,-20.44,-54.65,69.8,94,40,3.36,BR,11/18/20 03:18
108,Te Anau,-45.42,167.72,58.05,55,40,6.67,NZ,11/18/20 03:18
109,Hasaki,35.73,140.83,68.25,64,40,10.29,JP,11/18/20 03:18
110,Zhuhai,22.28,113.57,81.16,78,20,4.7,CN,11/18/20 03:18
111,Lagoa,39.05,-27.98,58.44,59,7,18.43,PT,11/18/20 03:18
112,Hobart,-42.88,147.33,74.68,35,0,8.05,AU,11/18/20 03:18
113,Casma,-41.01,-73.12,52.74,82,0,2.24,CL,11/18/20 03:18
114,Coquimbo,-29.95,-71.34,55.4,82,20,6.93,CL,11/18/20 03:18
115,Diego de Almagro,-26.37,-70.05,48.34,58,0,1.83,CL,11/18/20 03:18
116,Touros,-5.2,-35.46,78.8,88,40,8.05,BR,11/18/20 03:18
117,Batemans Bay,-35.72,150.18,71.58,53,6,1.01,AU,11/18/20 03:18
118,Vikulovo,56.82,70.61,17.1,97,100,5.3,RU,11/18/20 03:18
119,Westport,41.14,-73.36,36.05,69,1,5.82,US,11/18/20 03:18
120,Tura,25.52,90.22,72.12,61,0,2.77,IN,11/18/20 03:18
121,Port Alfred,-33.59,26.89,67.66,94,98,15.23,ZA,11/18/20 03:18
122,Belém,-1.46,-48.5,77.0,94,40,2.24,BR,11/18/20 03:18
123,Tuktoyaktuk,69.45,-133.04,12.2,92,90,4.7,CA,11/18/20 03:18
124,Dingle,11.0,122.67,86.04,73,30,11.65,PH,11/18/20 03:18
125,Sabang,5.89,95.32,82.4,73,84,6.42,ID,11/18/20 03:18
126,Leningradskiy,69.38,178.42,23.29,92,98,3.8,RU,11/18/20 03:18
127,Richards Bay,-28.78,32.04,68.92,90,78,7.87,ZA,11/18/20 03:18
128,Govlyar,40.95,45.73,46.4,93,90,2.24,AZ,11/18/20 03:19
129,Souillac,-20.52,57.52,71.6,83,75,10.29,MU,11/18/20 03:19
130,Broken Hill,-31.95,141.43,82.4,11,20,9.17,AU,11/18/20 03:18
131,Fairview,40.81,-74.0,37.58,55,1,6.93,US,11/18/20 03:19
132,Srednekolymsk,67.45,153.68,-6.93,91,100,6.2,RU,11/18/20 03:19
133,Tessalit,20.2,1.01,67.93,26,0,11.18,ML,11/18/20 03:19
134,Comodoro Rivadavia,-45.87,-67.5,60.8,55,0,3.36,AR,11/18/20 03:19
135,Morehead,37.27,-87.18,33.69,75,1,3.67,US,11/18/20 03:19
136,Saint George,37.1,-113.58,61.0,23,1,3.36,US,11/18/20 03:16
137,Buritama,-21.07,-50.15,72.7,82,16,5.97,BR,11/18/20 03:19
138,Weiser,44.25,-116.97,44.65,75,90,3.4,US,11/18/20 03:18
139,Samarai,-10.62,150.67,82.22,83,100,12.97,PG,11/18/20 03:19
140,Garanhuns,-8.89,-36.49,67.32,93,96,11.25,BR,11/18/20 03:19
141,Gimli,50.63,-96.99,20.57,73,71,12.75,CA,11/18/20 03:15
142,Hermiston,45.84,-119.29,48.22,87,20,4.7,US,11/18/20 03:19
143,Isangel,-19.55,169.27,79.99,59,1,11.21,VU,11/18/20 03:19
144,Eskişehir,39.78,30.52,26.6,92,0,2.24,TR,11/18/20 03:14
145,College,64.86,-147.8,-7.58,69,1,2.8,US,11/18/20 03:19
146,Port Pirie,-33.18,138.02,91.4,11,43,11.41,AU,11/18/20 03:19
147,Cabinda,-5.55,12.2,77.7,78,100,4.5,AO,11/18/20 03:16
148,Matara,5.95,80.54,75.72,89,100,4.14,LK,11/18/20 03:19
149,Alghero,40.56,8.32,48.2,93,0,3.36,IT,11/18/20 03:19
150,Mount Isa,-20.73,139.5,102.2,17,86,13.87,AU,11/18/20 03:19
151,Kailua,21.4,-157.74,79.2,65,20,8.05,US,11/18/20 03:19
152,Port-Gentil,-0.72,8.78,78.35,85,100,13.69,GA,11/18/20 03:19
153,Regierungsbezirk Arnsberg,51.33,8.01,48.58,91,57,5.14,DE,11/18/20 03:19
154,Fairbanks,64.84,-147.72,-7.73,83,1,1.12,US,11/18/20 03:19
155,George Town,5.41,100.34,84.09,79,20,4.7,MY,11/18/20 03:19
156,Hualmay,-11.1,-77.61,63.03,86,40,7.78,PE,11/18/20 03:19
157,Tigil',57.8,158.67,22.3,95,100,12.37,RU,11/18/20 03:19
158,Hargeisa,9.56,44.06,58.15,93,38,16.91,SO,11/18/20 03:19
159,Joaíma,-16.65,-41.03,70.36,84,96,2.44,BR,11/18/20 03:19
160,Atambua,-9.11,124.89,88.83,50,16,2.51,ID,11/18/20 03:19
161,Avarua,-21.21,-159.78,78.8,88,98,18.34,CK,11/18/20 03:19
162,Kushtagi,15.77,76.2,70.93,83,7,12.55,IN,11/18/20 03:19
163,Airai,-8.93,125.41,79.16,56,10,4.59,TL,11/18/20 03:19
164,Tanout,14.97,8.89,67.3,31,0,9.69,NE,11/18/20 03:19
165,Asău,46.43,26.4,42.01,97,94,2.71,RO,11/18/20 03:19
166,Chokurdakh,70.63,147.92,-17.48,88,10,8.68,RU,11/18/20 03:19
167,Alice Springs,-23.7,133.88,95.0,14,0,10.29,AU,11/18/20 03:16
168,Grong,64.47,12.31,40.19,76,100,18.14,NO,11/18/20 03:19
169,Merritt Island,28.54,-80.67,63.05,48,1,6.93,US,11/18/20 03:19
170,Mossamedes,-15.2,12.15,67.08,73,0,6.33,AO,11/18/20 03:19
171,Kangaatsiaq,68.31,-53.46,27.9,87,100,10.63,GL,11/18/20 03:19
172,Sinnamary,5.38,-52.95,78.67,85,100,11.16,GF,11/18/20 03:19
173,Khowst,33.38,69.88,46.58,49,0,2.13,AF,11/18/20 03:19
174,Kabinda,-6.13,24.48,64.94,98,100,4.14,CD,11/18/20 03:19
175,Kulachi,31.93,70.46,60.78,38,0,3.04,PK,11/18/20 03:19
176,Roebourne,-20.78,117.13,94.19,30,67,19.48,AU,11/18/20 03:19
177,Tiksi,71.69,128.87,-0.15,87,100,28.61,RU,11/18/20 03:19
178,Sitka,57.05,-135.33,37.4,29,40,6.93,US,11/18/20 03:19
179,Saint Anthony,45.02,-93.22,32.52,87,20,6.93,US,11/18/20 03:19
180,Rome,43.21,-75.46,27.86,86,90,10.29,US,11/18/20 03:19
181,Rawson,-43.3,-65.1,58.57,65,3,16.69,AR,11/18/20 03:19
182,Norman Wells,65.28,-126.83,15.8,85,75,12.75,CA,11/18/20 03:18
183,Borogontsy,62.67,131.17,-8.86,89,100,3.8,RU,11/18/20 03:19
184,Katangli,51.71,143.23,20.23,80,8,20.04,RU,11/18/20 03:19
185,Hamilton,39.18,-84.53,32.16,63,1,4.7,US,11/18/20 03:19
186,Caravelas,-17.71,-39.25,76.24,86,26,9.4,BR,11/18/20 03:19
187,Qaryat Sulūq,31.67,20.25,61.52,55,100,9.4,LY,11/18/20 03:19
188,Yining,29.04,114.56,79.86,57,0,8.16,CN,11/18/20 03:19
189,Nioro,13.35,-15.75,74.32,33,71,1.86,GM,11/18/20 03:19
190,Iseyin,7.97,3.6,72.34,91,95,2.68,NG,11/18/20 03:19
191,Sinjār,36.32,41.88,51.94,60,0,3.89,IQ,11/18/20 03:19
192,Exeter,50.72,-3.53,54.48,87,75,11.41,GB,11/18/20 03:18
193,Rongcheng,30.63,117.85,70.0,92,0,5.68,CN,11/18/20 03:19
194,Provideniya,64.38,-173.3,33.8,98,90,13.42,RU,11/18/20 03:19
195,Alihe,50.57,123.72,24.31,80,23,1.88,CN,11/18/20 03:19
196,Concepción de la Vega,19.22,-70.53,67.59,94,40,2.91,DO,11/18/20 03:18
197,Kavaratti,10.57,72.64,78.35,89,100,9.04,IN,11/18/20 03:19
198,Roxas,11.59,122.75,85.19,73,94,11.65,PH,11/18/20 03:19
199,Kiryat Gat,31.61,34.76,63.36,57,17,7.0,IL,11/18/20 03:19
200,Carnarvon,-24.87,113.63,73.4,60,100,14.99,AU,11/18/20 03:19
201,Opuwo,-18.06,13.84,66.49,34,0,5.1,NA,11/18/20 03:19
202,Faya,18.39,42.45,52.7,81,0,1.5,SA,11/18/20 03:19
203,Ust'ye,59.63,39.74,24.33,89,80,13.91,RU,11/18/20 03:19
204,Stephenville Crossing,48.5,-58.43,33.4,86,75,4.7,CA,11/18/20 03:19
205,Bīdar,17.9,77.55,74.01,61,13,9.08,IN,11/18/20 03:19
206,Broome,42.25,-75.83,26.69,63,90,13.87,US,11/18/20 03:19
207,Armação de Pêra,37.1,-8.36,59.97,93,0,6.93,PT,11/18/20 03:19
208,New Castle,41.0,-80.35,30.7,86,90,4.7,US,11/18/20 03:19
209,Benghazi,32.12,20.07,66.99,55,100,9.66,LY,11/18/20 03:19
210,Santa Maria,-29.68,-53.81,64.4,77,0,9.17,BR,11/18/20 03:19
211,East London,-33.02,27.91,68.63,89,30,6.82,ZA,11/18/20 03:19
212,Luga,58.74,29.85,36.93,86,100,15.28,RU,11/18/20 03:19
213,Działdowo,53.24,20.17,46.4,93,90,10.29,PL,11/18/20 03:19
214,Pahrump,36.21,-115.98,58.53,19,5,8.99,US,11/18/20 03:18
215,Çayeli,41.09,40.73,52.5,69,91,1.07,TR,11/18/20 03:19
216,Los Llanos de Aridane,28.66,-17.92,68.61,72,0,4.7,ES,11/18/20 03:19
217,Laguna,38.42,-121.42,56.82,93,90,4.7,US,11/18/20 03:19
218,Kumul,42.8,93.45,36.79,67,0,1.5,CN,11/18/20 03:19
219,Bow Island,49.87,-111.37,39.51,62,100,12.75,CA,11/18/20 03:19
220,San Cristobal,7.77,-72.22,66.63,93,100,0.27,VE,11/18/20 03:18
221,Zhanakorgan,43.91,67.25,16.48,88,0,14.63,KZ,11/18/20 03:19
222,Namatanai,-3.67,152.43,85.32,69,96,4.45,PG,11/18/20 03:19
223,Esperance,-33.87,121.9,71.6,60,40,8.05,AU,11/18/20 03:19
224,Hong Kong,22.29,114.16,77.77,61,20,9.17,HK,11/18/20 03:15
225,Magdagachi,53.45,125.8,13.01,88,0,5.23,RU,11/18/20 03:19
226,Dikson,73.51,80.55,19.09,96,100,19.62,RU,11/18/20 03:20
227,Tumbagaan,5.37,120.31,83.64,78,96,8.34,PH,11/18/20 03:20
228,Baykit,61.67,96.37,2.89,90,100,4.14,RU,11/18/20 03:20
229,Sishui,35.65,117.28,63.66,94,100,11.36,CN,11/18/20 03:20
230,Chizhou,30.66,117.48,77.79,59,0,8.12,CN,11/18/20 03:20
231,Flin Flon,54.77,-101.86,8.28,91,98,12.46,CA,11/18/20 03:20
232,Kemijärvi,66.71,27.43,41.36,86,100,11.12,FI,11/18/20 03:20
233,Burley,42.54,-113.79,57.2,33,1,5.82,US,11/18/20 03:16
234,Portland,45.52,-122.68,49.82,85,65,1.99,US,11/18/20 03:07
235,Marawi,8.0,124.29,84.0,80,95,5.99,PH,11/18/20 03:20
236,Tazovsky,67.47,78.7,29.98,99,100,7.58,RU,11/18/20 03:20
237,Batagay-Alyta,67.8,130.41,1.8,85,100,4.94,RU,11/18/20 03:20
238,Lompoc,34.64,-120.46,54.23,87,1,4.7,US,11/18/20 03:20
239,Khorinsk,52.17,109.77,19.08,88,100,2.84,RU,11/18/20 03:20
240,Williams Lake,52.14,-122.14,41.0,75,20,13.87,CA,11/18/20 03:20
241,Nyuksenitsa,60.41,44.24,21.69,83,0,11.59,RU,11/18/20 03:20
242,Balabac,7.99,117.06,84.85,74,96,11.1,PH,11/18/20 03:20
243,Padang,-0.95,100.35,83.16,73,98,2.53,ID,11/18/20 03:20
244,Ibanda,-2.8,32.47,66.54,88,97,0.29,TZ,11/18/20 03:20
245,Hambantota,6.12,81.12,77.0,100,75,1.12,LK,11/18/20 03:20
246,Weyburn,49.67,-103.85,24.8,92,100,28.86,CA,11/18/20 03:20
247,Rechka Vydrino,51.48,104.85,25.05,94,87,9.01,RU,11/18/20 03:20
248,Sainte-Suzanne,-20.91,55.61,70.54,49,0,6.93,RE,11/18/20 03:20
249,Pemangkat,1.17,108.97,83.75,71,44,3.44,ID,11/18/20 03:20
250,Bereda,43.27,-7.54,61.0,86,55,14.0,ES,11/18/20 03:20
251,Maunabo,18.01,-65.9,76.6,93,0,7.34,PR,11/18/20 03:20
252,Mishkino,55.34,63.92,16.07,97,100,9.64,RU,11/18/20 03:20
253,Panevezys,55.73,24.35,46.4,93,90,18.34,LT,11/18/20 03:20
254,Luorong,24.41,109.61,78.31,68,98,11.23,CN,11/18/20 03:20
255,Pailón,-17.65,-62.75,81.88,61,100,3.24,BO,11/18/20 03:20
256,Miajadas,39.15,-5.91,52.45,96,11,2.75,ES,11/18/20 03:20
257,Lakatoro,-16.1,167.42,84.2,74,75,9.17,VU,11/18/20 03:20
258,Torbay,47.67,-52.73,36.73,100,90,10.29,CA,11/18/20 03:20
259,Komárno,47.76,18.12,38.39,100,0,3.36,SK,11/18/20 03:20
260,Ryazanovskiy,55.55,39.43,22.8,81,20,10.36,RU,11/18/20 03:20
261,Stokmarknes,68.56,14.91,40.87,87,95,14.0,NO,11/18/20 03:20
262,Berlevåg,70.86,29.09,42.64,81,73,28.86,NO,11/18/20 03:20
263,Krasne,49.91,24.61,39.09,100,90,4.34,UA,11/18/20 03:20
264,Teya,60.38,92.63,7.16,92,100,6.2,RU,11/18/20 03:20
265,Katobu,-4.94,122.53,91.58,51,70,2.24,ID,11/18/20 03:20
266,Nānākuli,21.39,-158.15,82.35,58,75,8.05,US,11/18/20 03:20
267,Portsmouth,50.8,-1.09,53.65,89,18,1.01,GB,11/18/20 03:20
268,Brae,60.4,-1.35,50.0,93,100,6.93,GB,11/18/20 03:20
269,Mount Gambier,-37.83,140.77,80.6,28,100,13.87,AU,11/18/20 03:20
270,Kruisfontein,-34.0,24.73,62.01,97,100,5.01,ZA,11/18/20 03:20
271,Tsabong,-26.02,22.4,73.72,35,0,4.38,BW,11/18/20 03:20
272,Karasjok,69.47,25.51,42.8,75,100,35.57,NO,11/18/20 03:20
273,Tingi,-11.3,35.03,64.76,87,91,6.55,TZ,11/18/20 03:20
274,Ancud,-41.87,-73.82,50.99,87,0,5.82,CL,11/18/20 03:20
275,Sept-Îles,50.2,-66.38,25.92,68,100,13.87,CA,11/18/20 03:19
276,Flores da Cunha,-29.03,-51.18,53.6,87,40,2.24,BR,11/18/20 03:20
277,Sapatgrām,26.33,90.11,70.3,73,0,6.26,IN,11/18/20 03:20
278,Faanui,-16.48,-151.75,80.24,78,58,12.55,PF,11/18/20 03:20
279,Kaitangata,-46.28,169.85,55.99,75,90,5.99,NZ,11/18/20 03:20
280,Missoula,47.02,-113.8,38.86,100,90,9.17,US,11/18/20 03:17
281,Ocho Rios,18.4,-77.1,73.96,95,88,5.46,JM,11/18/20 03:20
282,Kobe,34.69,135.18,66.83,60,20,11.41,JP,11/18/20 03:20
283,Kahului,20.89,-156.47,75.85,61,40,24.16,US,11/18/20 03:20
284,Wattegama,6.8,81.48,77.0,100,75,1.12,LK,11/18/20 03:20
285,Constantine,36.37,6.61,46.4,93,40,8.05,DZ,11/18/20 03:20
286,Pehowa,29.98,76.58,62.2,44,0,5.3,IN,11/18/20 03:20
287,Newport,51.59,-3.0,52.75,94,93,3.0,GB,11/18/20 03:16
288,Pangkalanbuun,-2.68,111.62,87.21,68,34,4.23,ID,11/18/20 03:20
289,Rajshahi,24.37,88.6,76.57,43,0,3.85,BD,11/18/20 03:20
290,Tateyama,34.98,139.87,68.38,72,20,8.05,JP,11/18/20 03:20
291,Ketchikan,55.34,-131.65,38.1,64,90,9.17,US,11/18/20 03:18
292,Bariloche,-41.15,-71.31,53.6,50,0,4.52,AR,11/18/20 03:20
293,Ust-Kuyga,70.02,135.6,-5.57,89,100,12.17,RU,11/18/20 03:20
294,Bueu,42.32,-8.79,61.63,100,90,12.75,ES,11/18/20 03:20
295,Tuatapere,-46.13,167.68,55.99,68,72,17.0,NZ,11/18/20 03:20
296,Praia da Vitória,38.73,-27.07,56.25,62,20,18.59,PT,11/18/20 03:20
297,Guerrero Negro,27.98,-114.06,68.13,64,97,7.85,MX,11/18/20 03:20
298,Klyuchi,52.27,79.17,7.99,94,33,7.16,RU,11/18/20 03:20
299,Ilulissat,69.22,-51.1,28.4,46,100,13.87,GL,11/18/20 03:20
300,Saquarema,-22.92,-42.51,73.4,94,90,6.93,BR,11/18/20 03:20
301,Mackay,-21.15,149.2,85.19,55,10,14.99,AU,11/18/20 03:20
302,Haines Junction,60.75,-137.51,8.6,78,89,3.36,CA,11/18/20 03:20
303,Pandan,14.05,124.17,83.88,78,94,9.6,PH,11/18/20 03:20
304,Barcelos,41.54,-8.62,60.93,100,75,8.05,PT,11/18/20 03:20
305,Gwadar,25.12,62.33,71.56,37,0,7.07,PK,11/18/20 03:20
306,Saint-Augustin,51.23,-58.65,28.67,92,37,12.86,CA,11/18/20 03:21
307,Boueni,-12.9,45.08,77.0,88,75,1.12,YT,11/18/20 03:21
308,Tual,-5.67,132.75,84.81,70,96,9.31,ID,11/18/20 03:21
309,Nara,34.69,135.8,71.55,56,0,4.7,JP,11/18/20 03:21
310,Saldanha,-33.01,17.94,57.2,82,59,6.93,ZA,11/18/20 03:21
311,Río Gallegos,-51.62,-69.22,53.6,58,20,19.46,AR,11/18/20 03:21
312,Deputatsky,69.3,139.9,-4.86,92,100,4.52,RU,11/18/20 03:21
313,Maningrida,-12.07,134.27,92.95,44,1,12.17,AU,11/18/20 03:21
314,Wuwei,37.93,102.64,41.14,59,22,4.54,CN,11/18/20 03:21
315,Leh,34.17,77.58,22.24,67,2,3.74,IN,11/18/20 03:21
316,Pimentel,-6.84,-79.93,62.74,87,39,11.97,PE,11/18/20 03:21
317,Ponta do Sol,32.67,-17.1,66.34,72,40,3.36,PT,11/18/20 03:21
318,Bilma,18.69,12.92,63.43,32,0,10.78,NE,11/18/20 03:21
319,Inhambane,-23.86,35.38,68.88,82,0,6.04,MZ,11/18/20 03:21
320,Geraldton,-28.77,114.6,78.8,44,1,11.41,AU,11/18/20 03:21
321,Bathsheba,13.22,-59.52,80.6,78,20,18.34,BB,11/18/20 03:21
322,Smila,49.22,31.89,29.35,93,100,8.75,UA,11/18/20 03:21
323,Mutare,-18.97,32.67,61.47,80,85,2.35,ZW,11/18/20 03:21
324,High Level,58.52,-117.14,10.4,92,90,13.87,CA,11/18/20 03:21
325,Eureka,40.8,-124.16,53.69,94,100,6.62,US,11/18/20 03:21
326,Teahupoo,-17.83,-149.27,84.09,66,40,8.05,PF,11/18/20 03:21
327,Aklavik,68.22,-135.01,12.2,85,96,2.24,CA,11/18/20 03:21
328,Amapá,1.0,-52.0,72.05,98,100,2.15,BR,11/18/20 03:21
329,Sibolga,1.74,98.78,85.15,66,62,2.57,ID,11/18/20 03:21
